seed,alpha_T1_face,alpha_T1_kh,delta_alpha_T1_kh_minus_face,alpha_T2_face,alpha_T2_kh,delta_alpha_T2_kh_minus_face
76,0.05097022134987056,0.05447566109237086,0.0035054397425003034,-0.01151985980321042,-0.0178330265672761,-0.006313166764065679
77,-0.02378023423103805,-0.02621717273467293,-0.00243693850363488,-0.02710311796373935,-0.02923898982611063,-0.0021358718623712795
78,0.02094813395674282,0.04492143493433105,0.023973300977588232,0.03685243854753499,0.03365284051659255,-0.003199598030942441
79,0.003727102786523756,0.01256794054389175,0.008840837757367995,-0.01715023516689107,-0.01381169695223143,0.003338538214659641
80,0.02793217309211759,0.01785324710649438,-0.01007892598562321,0.00909679480825871,0.02137520131348283,0.01227840650522412
81,0.02584848306882559,0.009487259995575733,-0.01636122307324986,-0.001800950600398937,-0.01344731892526761,-0.011646368324868674
82,-0.04398234189316717,-0.0399454541342915,0.0040368877588756735,-0.004017042046628194,-0.0003965131734919851,0.0036205288731362088
83,-0.01129434986758352,-0.006398579872974369,0.004895769994609151,-0.01257976290193037,-0.01281435604875733,-0.00023459314682696027
84,-0.01074386170083817,-0.01408436227066486,-0.003340500569826689,0.009666409853503866,0.01109335778864188,0.0014269479351380152
85,0.0401745095883467,0.03200949311925797,-0.00816501646908873,0.01159118953764264,0.02998517448440398,0.018393984946761338
86,0.02229763820847729,0.02807492198759719,0.005777283779119902,0.04671323334876943,0.05775351056136278,0.011040277212593347
87,0.01930096341184835,0.02501054082880874,0.00570957741696039,-0.01214690019563568,-0.01146351917314751,0.0006833810224881696
88,-0.000416427389375167,0.002333979082709993,0.00275040647208516,0.01869824489037274,0.02587984030497319,0.00718159541460045
89,-0.0002247525737329852,0.001853589771474071,0.002078342345207056,0.01960089539940818,0.01960008280689363,-8.12592514550653e-07
90,-0.05757757285656408,-0.05674330732245435,0.0008342655341097294,-0.0330553238097782,-0.02619528708967992,0.0068600367200982795
91,-0.01603413031620075,-0.01282589552440768,0.0032082347917930694,0.002787285755224002,0.006513856388535351,0.003726570633311349
92,-0.0002036028302070918,-0.01391380870415014,-0.01371020587394305,0.01373600819584099,0.02061147634137888,0.00687546814553789
