backend,t,n,alpha_L_mean,alpha_L_ci95,alpha_L_lower,alpha_L_upper,alpha_T1_mean,alpha_T1_ci95,alpha_T1_lower,alpha_T1_upper,alpha_T2_mean,alpha_T2_ci95,alpha_T2_lower,alpha_T2_upper
kh,110.0,100,0.30692194845374,0.038552061326254404,0.2683698871274856,0.3454740097799944,0.01825825097005365,0.010523966947250336,0.007734284022803312,0.028782217917303985,0.02052323491198717,0.011078095848303236,0.009445139063683935,0.03160133076029041
kh,120.0,100,0.32419750633576355,0.04087603539753352,0.28332147093823,0.3650735417332971,0.018446787853777496,0.010952008559397933,0.007494779294379562,0.02939879641317543,0.021667137077894597,0.011672641227570552,0.009994495850324045,0.03333977830546515
kh,130.0,100,0.3423024892250795,0.043978826263925165,0.2983236629611543,0.3862813154890047,0.018110420747520135,0.01115696431652066,0.006953456430999474,0.029267385064040793,0.022367838145977734,0.012201893101626385,0.01016594504435135,0.03456973124760412
kh,140.0,100,0.3598577019405728,0.0472451962563501,0.3126125056842227,0.4071028981969229,0.01625300121654562,0.010911972229733311,0.00534102898681231,0.027164973446278932,0.021834574270907427,0.012275957896112905,0.009558616374794522,0.034110532167020334
kh,150.0,100,0.3766043854270901,0.050856088846980174,0.32574829658010995,0.4274604742740703,0.01421133702770177,0.0108027348133764,0.00340860221432537,0.02501407184107817,0.020742409252223884,0.011893813134762222,0.008848596117461662,0.0326362223869861
kh,160.0,100,0.3912433310355826,0.05382481816018116,0.3374185128754015,0.44506814919576376,0.013370239216474946,0.010857793752618172,0.0025124454638567745,0.02422803296909312,0.02031457196396962,0.011416035466409926,0.008898536497559693,0.031730607430379545
kh,170.0,100,0.4008963061213927,0.05409289245765031,0.3468034136637424,0.454989198579043,0.013405617867998489,0.010606126056762664,0.0027994918112358245,0.02401174392476115,0.019777111744380495,0.010935302198000634,0.00884180954637986,0.03071241394238113
kh,180.0,100,0.4066029772218078,0.05291245589849793,0.3536905213233099,0.45951543312030574,0.013876361270727012,0.010318609125050593,0.0035577521456764197,0.024194970395777605,0.018805836087857086,0.0106015485207803,0.008204287567076786,0.029407384608637385
kh,190.0,100,0.41031456983726394,0.05171893207654664,0.3585956377607173,0.4620335019138106,0.013815566367988325,0.010011291789961182,0.0038042745780271434,0.023826858157949507,0.017245109538153162,0.01037369591105455,0.0068714136270986124,0.027618805449207712
kh,200.0,100,0.41340983085075683,0.05055810537048675,0.36285172548027006,0.4639679362212436,0.013454755790192494,0.009618362598787568,0.0038363931914049253,0.02307311838898006,0.015340549302434779,0.010127962522084453,0.005212586780350326,0.02546851182451923
kh,210.0,100,0.41505966842874814,0.049320698671599994,0.36573896975714815,0.46438036710034813,0.013163243214225814,0.009458268889682086,0.0037049743245437285,0.0226215121039079,0.013987223787494226,0.009975275240970968,0.0040119485465232585,0.023962499028465194
kh,220.0,100,0.41077345827466216,0.046391657492256766,0.3643818007824054,0.45716511576691893,0.013068052666380591,0.009325645631412697,0.0037424070349678946,0.022393698297793287,0.012957658741359464,0.009836841137535298,0.0031208176038241657,0.022794499878894762
kh,230.0,100,0.40354294308941907,0.04285598074681277,0.3606869623426063,0.44639892383623186,0.012990905009696704,0.009099810918336065,0.003891094091360639,0.02209071592803277,0.011921280952613472,0.009771558623722082,0.0021497223288913896,0.021692839576335554
kh,240.0,100,0.39623278348789215,0.0409198505177807,0.35531293297011146,0.43715263400567284,0.012311420226839115,0.00880037170143472,0.0035110485254043946,0.021111791928273838,0.010572951163819722,0.009682812929662396,0.0008901382341573259,0.02025576409348212
kh,250.0,100,0.3875694796312245,0.03986788384072206,0.34770159579050247,0.42743736347194655,0.011171533754579835,0.008438166708454212,0.002733367046125623,0.01960970046303405,0.008836904183660016,0.009370947323186002,-0.0005340431395259859,0.018207851506846017
kh,260.0,100,0.37901313262210273,0.039530708407385796,0.3394824242147169,0.41854384102948855,0.010106435334157301,0.008074117053702517,0.0020323182804547844,0.018180552387859816,0.007528318244826079,0.008964229795176342,-0.0014359115503502634,0.01649254804000242
kh,270.0,100,0.36923531499346346,0.03976753884883596,0.3294677761446275,0.4090028538422994,0.009162313535364468,0.00781701958030102,0.0013452939550634476,0.01697933311566549,0.0068682302430083325,0.008609948396238009,-0.001741718153229676,0.015478178639246342
kh,280.0,100,0.35750910562370963,0.040156115445608764,0.31735299017810087,0.3976652210693184,0.008613786247708267,0.007682581495743447,0.00093120475196482,0.016296367743451716,0.005407627229737148,0.00834577737533112,-0.002938150145593973,0.013753404605068268
kh,290.0,100,0.3446241598265896,0.040887591426736085,0.3037365683998535,0.3855117512533257,0.008733900909693577,0.007575028348152058,0.001158872561541519,0.016308929257845634,0.0034372024144830393,0.008256145530285499,-0.00481894311580246,0.011693347944768537
kh,300.0,100,0.32842769732170546,0.041879576046358946,0.2865481212753465,0.3703072733680644,0.009083270828930354,0.007387041546451878,0.001696229282478476,0.016470312375382233,0.0021384749418385837,0.008236434384184302,-0.006097959442345717,0.010374909326022886
kh,310.0,100,0.3104066558675401,0.04311155950870772,0.2672950963588324,0.35351821537624784,0.009290351991193987,0.00711950206613105,0.0021708499250629367,0.016409854057325035,0.0015933753702562687,0.008115213126362496,-0.006521837756106228,0.009708588496618766
kh,320.0,100,0.29033338196512026,0.04497434666670606,0.2453590352984142,0.33530772863182634,0.009213909044746914,0.006945747145871523,0.002268161898875391,0.016159656190618436,0.0011694282216681098,0.00788598286561066,-0.00671655464394255,0.009055411087278769
kh,330.0,100,0.2673331499516989,0.04684349391871563,0.22048965603298326,0.3141766438704145,0.008693751018352826,0.006815988054769509,0.0018777629635833171,0.015509739073122334,0.0010599319859583153,0.0076632635780201795,-0.006603331592061864,0.008723195563978495
kh,340.0,100,0.24604882461708666,0.04831606024896009,0.19773276436812656,0.2943648848660467,0.008134998540167901,0.006687572393637782,0.0014474261465301187,0.014822570933805682,0.0016876469600107663,0.0074564707636524214,-0.005768823803641655,0.009144117723663189
kh,350.0,100,0.2262598361909527,0.04955252879893922,0.17670730739201346,0.2758123649898919,0.007684357917475933,0.006611756646167999,0.0010726012713079339,0.014296114563643932,0.002403890125944082,0.00724672655035095,-0.004842836424406868,0.009650616676295031
kh,360.0,100,0.20781329582874838,0.050378237424444715,0.15743505840430366,0.2581915332531931,0.006907855018809878,0.006508084163656699,0.000399770855153179,0.013415939182466578,0.0030332115138569198,0.007061375159381026,-0.004028163645524106,0.010094586673237945
kh,370.0,100,0.19092976302987644,0.05078028488595855,0.14014947814391787,0.241710047915835,0.006657762579745892,0.006223548374708062,0.00043421420503783007,0.012881310954453953,0.003193085974791244,0.0068515692310156945,-0.0036584832562244506,0.010044655205806939
kh,380.0,100,0.17474328093604563,0.05143397089296621,0.12330931004307942,0.22617725182901183,0.007470690056408803,0.005809299820634233,0.0016613902357745704,0.013279989877043036,0.0034060037685508904,0.006614806226159441,-0.0032088024576085506,0.010020809994710332
kh,390.0,100,0.1580411841603507,0.05203049156154303,0.10601069259880767,0.21007167572189372,0.008276076266966212,0.005507459696368989,0.002768616570597223,0.0137835359633352,0.004054258848633458,0.0063498839156982834,-0.002295625067064826,0.010404142764331742
kh,400.0,100,0.1411718231810932,0.052648885130359036,0.08852293805073416,0.19382070831145223,0.008347622963303885,0.005425361225692719,0.0029222617376111664,0.013772984188996605,0.0044452514095286895,0.0060804369391585684,-0.001635185529629879,0.010525688348687258
kh,410.0,100,0.12443715717700403,0.05328099081367536,0.07115616636332867,0.1777181479906794,0.008037016179233181,0.005473619446716694,0.0025633967325164875,0.013510635625949875,0.004734080041248875,0.005989166449719566,-0.0012550864084706912,0.010723246490968442
kh,420.0,100,0.10736351843613358,0.05377508807716791,0.05358843035896567,0.16113860651330147,0.0076615520419002535,0.005475782325489728,0.0021857697164105253,0.013137334367389982,0.004947065725846623,0.005873716795548969,-0.000926651069702346,0.010820782521395591
kh,430.0,100,0.08946051414205836,0.05425422236874748,0.035206291773310874,0.14371473651080585,0.0073754726943241556,0.005384557131852365,0.0019909155624717907,0.01276002982617652,0.005103915054548768,0.005656844859777951,-0.0005529298052291834,0.01076075991432672
kh,440.0,100,0.07091463544074096,0.05499952416061824,0.01591511128012272,0.1259141596013592,0.007231053528664208,0.005442911041207435,0.0017881424874567732,0.012673964569871642,0.0054533167966647825,0.0055305095442734434,-7.719274760866097e-05,0.010983826340938226
kh,450.0,100,0.05512250600223799,0.05576526060482778,-0.0006427546025897929,0.11088776660706577,0.00698380392208591,0.005627782182918896,0.0013560217391670138,0.012611586105004804,0.005678408168406448,0.005437078077355975,0.00024133009105047325,0.011115486245762422
kh,460.0,100,0.04327960615629052,0.05610791255599966,-0.012828306399709138,0.09938751871229018,0.006864911113682713,0.005655461695366107,0.0012094494183166058,0.01252037280904882,0.005402370398876992,0.005377603368060696,2.4767030816295887e-05,0.010779973766937689
kh,470.0,100,0.033489154413692906,0.055950243337310454,-0.022461088923617548,0.08943939775100336,0.007162305257429234,0.005577397616968508,0.001584907640460726,0.012739702874397742,0.005044380216464429,0.0053064093992439346,-0.0002620291827795055,0.010350789615708364
kh,480.0,100,0.021565550269678293,0.05572927900758619,-0.03416372873790789,0.07729482927726448,0.007264090884258006,0.005430250461095608,0.0018338404231623981,0.012694341345353615,0.005209774632398115,0.005186423100657987,2.3351531740128072e-05,0.010396197733056101
kh,490.0,100,0.006684870108569798,0.05533988988123263,-0.04865501977266283,0.06202475998980243,0.006834877362444946,0.005283821409119189,0.0015510559533257568,0.012118698771564136,0.005350599805530448,0.00511520288381199,0.0002353969217184582,0.010465802689342437
kh,500.0,100,-0.0012385979573194,0.0550970473539016,-0.056335645311221,0.0538584493965822,0.006548196390983816,0.005233408156978396,0.00131478823400542,0.011781604547962211,0.005291668152397353,0.005126311641117345,0.0001653565112800081,0.010417979793514697
